,time,observation_id,tel,bjd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
0,2019-11-08 07:58:19.564,j351.380,hires_j,2458795.832171,-20.850758659068397,1.23078668117523,49052.0,1.0578408241272,-3430.347,0.1459,0.001,-9.8,0.1
1,2019-11-15 07:11:53.347,j352.64,hires_j,2458802.799923,-9.84334319165943,1.29503035545349,47049.0,1.0489898920059202,-4086.235,0.1456,0.001,,
2,2019-11-28 06:41:22.561,j354.83,hires_j,2458815.778733,-15.012724059588198,1.26616072654724,48586.0,1.05063664913177,-5176.389,0.1422,0.001,-9.5,0.1
3,2019-12-02 05:50:11.623,j355.85,hires_j,2458819.7431900003,-11.289926221600599,1.32717704772949,44309.0,1.08430325984955,-5447.371999999999,0.1431,0.001,-9.51,0.1
4,2019-12-10 04:38:38.900,j356.46,hires_j,2458827.693506,-8.839612610383211,1.35255348682404,46039.0,1.11082255840302,-5916.977,0.1454,0.001,-9.6,0.1
5,2019-12-15 04:55:58.383,j357.88,hires_j,2458832.7055369997,-22.440702688504,1.33932101726532,40942.0,1.1052008867263798,-6183.6269999999995,0.1466,0.001,-9.56,0.1
6,2019-12-16 04:55:07.648,j357.269,hires_j,2458833.70495,-19.4495714386636,1.35870480537415,46908.0,1.09897565841675,-6229.509,0.1416,0.001,-8.99,0.1
7,2019-12-17 03:31:17.905,bsg.588,apf,2458834.646735,2.1281361525062503,3.89925479888916,4192.0,1.1276780366897599,-6260.435,0.141195134167,0.002,,
8,2019-12-17 03:52:01.892,bsg.589,apf,2458834.661133,8.802656104229401,3.7817800045013397,3990.0,1.1296135187149,-6264.056,0.145418022154,0.002,,
9,2019-12-20 05:37:20.408,bsj.488,apf,2458837.734264,-6.70608017629416,4.40314388275146,3006.0,1.17171037197113,-6379.605,0.175781550297,0.002,,
10,2019-12-20 05:57:49.448,bsj.489,apf,2458837.748489,-3.5256132326666005,5.6384577751159695,2375.0,1.1812022924423202,-6375.395,0.143924590233,0.002,,
11,2019-12-27 05:03:29.645,j358.273,hires_j,2458844.7107599997,-26.7672316872039,1.2005432844161998,45913.0,1.08792507648468,-6612.168000000001,0.1416,0.001,-9.52,0.1
12,2019-12-28 04:37:32.876,j358.464,hires_j,2458845.692742,-24.1208707536971,1.2748122215271,45924.0,1.0958223342895501,-6627.5830000000005,0.1448,0.001,-9.65,0.1
13,2019-12-29 05:47:47.838,bss.498,apf,2458846.7415259997,-9.77895408353345,4.8058910369873,3137.0,1.15980124473572,-6613.938,0.13707770153100002,0.002,,
14,2019-12-29 06:01:26.823,bss.499,apf,2458846.751005,-59.7248223412156,33.761814117431605,225.0,2.1537277698516797,-6609.512,,,,
15,2020-01-04 04:56:55.673,j359.83,hires_j,2458852.7062,-35.1783446293261,1.28788626194,46465.0,1.10062575340271,-6728.398,0.1445,0.001,-9.49,0.1
16,2020-01-04 12:42:17.036,bsy.421,apf,2458853.029364,-25.102195143927304,5.81177425384521,2114.0,1.2098753452301,-6449.641,0.169129251747,0.002,,
17,2020-01-04 13:04:54.985,bsy.422,apf,2458853.0450810003,-30.9140214300873,5.321724891662599,2403.0,1.1979683637618999,-6441.071999999999,0.163094904351,0.002,,
18,2020-01-06 02:31:47.064,bta.085,apf,2458854.6054060003,-6.79638923773195,6.61034917831421,1370.0,1.2256948947906499,-6709.229,0.07680963253430001,0.002,,
19,2020-01-06 02:42:53.985,bta.086,apf,2458854.613125,-21.8741071454075,7.5611572265625,1395.0,1.2475304603576698,-6710.408,0.11686191525900001,0.002,,
20,2020-01-09 04:56:30.137,j360.363,hires_j,2458857.705904,-32.20916835619661,1.60019779205322,27266.0,1.03947746753693,-6733.786999999999,0.1492,0.001,-9.32,0.1
21,2020-01-11 05:07:23.357,btf.294,apf,2458859.713465,-21.644898594825396,4.88808822631836,3013.0,1.18106710910797,-6671.8730000000005,0.195724641581,0.002,,
22,2020-01-11 05:28:34.387,btf.295,apf,2458859.728176,-17.9459028866182,4.51191139221191,3383.0,1.16859102249146,-6663.891,0.154543360956,0.002,,
23,2020-01-12 12:46:55.843,btg.515,apf,2458861.032591,-5.25193797376858,10.1801719665527,743.0,1.3632818460464498,-6412.831999999999,0.2303185366,0.002,,
24,2020-01-12 13:00:20.831,btg.516,apf,2458861.041908,-1.2173942395560802,10.198166847229,677.0,1.39826929569244,-6408.595,0.188719317339,0.002,,
25,2020-01-23 03:22:36.192,btr.487,apf,2458871.640697,-34.7960590131774,6.8940143585205105,1202.0,1.2431650161743202,-6449.026999999999,0.147281947812,0.002,,
26,2020-01-23 03:34:42.125,btr.488,apf,2458871.6490990003,-28.763577907790605,7.077096462249759,1256.0,1.25018179416656,-6446.095,0.140717908949,0.002,,
27,2020-01-28 04:23:48.102,btw.787,apf,2458876.683196,-28.1350533350562,5.27784013748169,2797.0,1.16797029972076,-6237.125,0.14997094333900002,0.002,,
28,2020-01-28 04:43:30.140,btw.788,apf,2458876.696877,-35.4941891716948,5.25170660018921,2413.0,1.1759833097457901,-6228.254,0.133804003007,0.002,,
29,2020-02-01 03:57:16.179,bua.087,apf,2458880.664771,-13.1442272303876,5.0049324035644505,2886.0,1.16817390918732,-6058.811,0.134164714397,0.002,,
